id,date,business_line,product_line,region,subregion,mortgage_type,valuation,dtv,balance,monthly_repayment,months_in_arrears,pd_12m,in_default
ID1007700026,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,374564.2308,0.464117574,173842,2070,1,0.000309062,false
ID1007700027,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,421348.3048,0.444206491,187166,2228,0,0.00025043,false
ID1007700028,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,391043.9211,0.517353503,202308,843,0,0.000265703,false
ID1007700029,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,433031.3706,0.410664372,177831,644,1,0.000333533,false
ID1007700030,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,354188.1945,0.388266387,137519,573,2,0.000365385,false
ID1007700031,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,331477.2624,0.273636145,90704,445,0,0.000243377,false
ID1007700032,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,421532.6758,0.206816397,87180,484,0,0.00027457,false
ID1007700033,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,372148.0994,0.393300437,146366,1355,1,0.000276433,false
ID1007700034,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,362626.2773,0.444927012,161342,1120,0,0.000281437,false
ID1007700035,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,fixed rate,341812.445,0.502632023,171806,795,0,0.000228944,false
ID1007700036,2022-12-01,Retail,Mortgage,Sweden,Halsingland,fixed rate,375415.4401,0.393213124,147618,1025,1,0.0002646,false
ID1007700037,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,386620.9276,0.411335676,159031,631,2,0.000383082,false
ID1007700038,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,365508.2493,0.281404234,102856,779,3,1,true
ID1007700039,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,capped rate,343964.7162,0.319946671,110050,340,0,0.000311154,false
ID1007700040,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,floating rate,373564.021,0.295875401,110528,542,1,0.000312851,false
ID1007700041,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,365014.7519,0.379755031,138616,1925,2,0.00035918,false
ID1007700042,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,317208.027,0.48909098,155144,462,1,0.000278928,false
ID1007700043,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,382212.8686,0.291832229,111542,1162,0,0.000284458,false
ID1007700044,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,384134.3711,0.458017349,175940,666,0,0.00022132,false
ID1007700045,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,356320.0446,0.55269366,196936,631,0,0.000270568,false
ID1007700046,2022-12-01,Retail,Mortgage,Sweden,Halsingland,capped rate,339115.0889,0.385242138,130641,544,2,0.000343307,false
ID1007700047,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,333653.5272,0.379872055,126746,528,3,1,true
ID1007700048,2022-12-01,Retail,Mortgage,Sweden,Dalsland,floating rate,280439.8448,0.400170035,112224,2338,0,0.000301883,false
ID1007700049,2022-12-01,Retail,Mortgage,Sweden,Blekinge,floating rate,334168.3492,0.238867814,79822,1663,0,0.000313332,false
ID1007700050,2022-12-01,Retail,Mortgage,Sweden,Narke,capped rate,344725.7579,0.266701311,91939,383,0,0.000183311,false
ID1007700051,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,393437.4463,0.274298343,107919,321,0,0.000404609,false
ID1007700052,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,372889.3693,0.489632318,182579,692,0,0.00029629,false
ID1007700053,2022-12-01,Retail,Mortgage,Sweden,Jamtland,capped rate,346110.3598,0.352400583,121969,1129,1,0.000318641,false
ID1007700054,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,376054.4922,0.442395147,166365,770,2,0.000327438,false
ID1007700055,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,390581.9127,0.283738149,110823,710,0,0.00035956,false
ID1007700056,2022-12-01,Retail,Mortgage,Sweden,Gotland,fixed rate,317857.0166,0.467520287,148605,442,0,0.00026475,false
ID1007700057,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,406153.1633,0.434934336,176650,866,1,0.000344553,false
ID1007700058,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,389304.8152,0.408255364,158936,1019,0,0.00029405,false
ID1007700059,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,398972.7568,0.363303218,144948,465,0,0.0002882,false
ID1007700060,2022-12-01,Retail,Mortgage,Sweden,Halsingland,fixed rate,329405.8456,0.221524422,72971,304,1,0.000329241,false
ID1007700061,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,346662.4384,0.603860828,209336,758,0,0.000285935,false
ID1007700062,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,371665.2431,0.307493725,114285,2381,0,0.000261778,false
ID1007700063,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,capped rate,383175.3576,0.215864769,82714,300,1,0.00024477,false
ID1007700064,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,354272.8802,0.554645775,196496,1092,0,0.000245607,false
ID1007700065,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,315101.472,0.478226328,150690,465,0,0.000282358,false
ID1007700066,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,385994.558,0.312252376,120528,1116,0,0.000253935,false
ID1007700067,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,408792.3007,0.35939523,146918,583,0,0.000290824,false
ID1007700068,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,303723.4173,0.545982456,165828,531,0,0.000327911,false
ID1007700069,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,350040.6716,0.280820641,98299,293,0,0.00035666,false
ID1007700070,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,388111.6007,0.390546033,151575,743,0,0.000346934,false
ID1007700071,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,351942.2257,0.221442473,77935,295,2,0.000366047,false
ID1007700072,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,385705.749,0.243533054,93932,489,1,0.000222882,false
ID1007700073,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,floating rate,327251.8271,0.345782246,113158,555,0,0.000243841,false
ID1007700074,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,344118.6339,0.252642755,86939,362,0,0.000246906,false
ID1007700075,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,405043.3378,0.36102383,146230,609,2,0.000304537,false
ID1007700076,2022-12-01,Retail,Mortgage,Sweden,Halland,fixed rate,388311.8331,0.263733836,102411,328,2,0.000328231,false
ID1007700077,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,376568.1424,0.253099746,95309,1986,1,0.000262166,false
ID1007700078,2022-12-01,Retail,Mortgage,Sweden,Narke,floating rate,415074.1409,0.431679713,179179,711,3,1,true
ID1007700079,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,435214.0353,0.484246772,210751,1464,1,0.000303817,false
ID1007700080,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,420976.8793,0.464520325,195552,627,0,0.000327181,false
ID1007700081,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,floating rate,372807.2963,0.29855214,111302,3092,0,0.000302102,false
ID1007700082,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,386921.6107,0.342441449,132498,502,0,0.000290832,false
ID1007700083,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,283372.2398,0.563295772,159622,512,3,1,true
ID1007700084,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,capped rate,346166.0839,0.282777892,97888,1165,0,0.00028738,false
ID1007700085,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,capped rate,382998.0429,0.462248833,177040,546,0,0.000235755,false
ID1007700086,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,325486.5005,0.410983841,133770,507,3,1,true
ID1007700087,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,311847.1698,0.512695088,159883,579,0,0.000364621,false
ID1007700088,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,306668.6651,0.23888178,73258,678,0,0.000272094,false
ID1007700089,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,319432.0101,0.329095543,105124,398,0,0.000356308,false
ID1007700090,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,351011.4233,0.412759176,144883,4025,0,0.000272537,false
ID1007700091,2022-12-01,Retail,Mortgage,Sweden,Dalsland,floating rate,331019.4344,0.407742409,134971,803,0,0.000354107,false
ID1007700092,2022-12-01,Retail,Mortgage,Sweden,Narke,capped rate,398339.4355,0.486734207,193885,577,0,0.000368012,false
ID1007700093,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,407217.7604,0.324402447,132102,5504,0,0.000240848,false
ID1007700094,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,393414.5086,0.449533654,176853,702,0,0.000299317,false
ID1007700095,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,capped rate,387463.844,0.573234966,222108,9254,1,0.000262927,false
ID1007700096,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,327923.7821,0.438845663,143908,1499,2,0.000226147,false
ID1007700097,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,405482.7274,0.319431526,129524,1542,2,0.000296259,false
ID1007700098,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,365015.4105,0.504391273,184111,1395,0,0.000360353,false
ID1007700099,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,399718.2023,0.531333762,212384,1264,1,0.000303551,false
ID1007700100,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,389301.9662,0.486900869,189551,1053,0,0.000281936,false
ID1007700101,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,334002.6942,0.583287534,194820,773,0,0.000328581,false
ID1007700102,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,384677.2657,0.601487815,231379,2142,0,0.000261234,false
ID1007700103,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,374310.0642,0.36380385,136175,516,0,0.000257561,false
ID1007700104,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,392782.1148,0.398966578,156707,1005,2,0.000353585,false
ID1007700105,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,305863.1773,0.514633786,157408,1457,2,0.000271476,false
ID1007700106,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,fixed rate,333965.5479,0.568740891,189940,1055,2,0.000382433,false
ID1007700107,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,392077.5081,0.39116014,153365,1420,0,0.000298953,false
ID1007700108,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,372094.5398,0.303602604,112969,448,0,0.000368051,false
ID1007700109,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,336903.5463,0.409385003,137923,766,0,0.000319337,false
ID1007700110,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,capped rate,398329.0236,0.233682527,93083,3878,0,0.000250085,false
ID1007700111,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,297293.2369,0.477599187,141987,592,0,0.000306247,false
ID1007700112,2022-12-01,Retail,Mortgage,Sweden,Jamtland,capped rate,345463.172,0.517844218,178896,4969,0,0.000303993,false
ID1007700113,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,351401.2674,0.413886662,145440,713,1,0.000292025,false
ID1007700114,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,340057.5982,0.31770538,108038,409,0,0.000195396,false
ID1007700115,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,332918.3956,0.283555013,94401,315,1,0.000276266,false
ID1007700116,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,304416.647,0.40407723,123008,641,0,0.000263522,false
ID1007700117,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,387037.832,0.342999241,132754,615,0,0.000354441,false
ID1007700118,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,327789.9273,0.431985052,141600,590,0,0.000341979,false
ID1007700119,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,324347.9205,0.52371951,169867,1011,0,0.000263432,false
ID1007700120,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,capped rate,385745.5574,0.372634132,143742,998,0,0.000290823,false
ID1007700121,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,302292.3553,0.283133421,85589,340,0,0.000328055,false
ID1007700122,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,315061.6535,0.478480412,150751,838,0,0.000321479,false
ID1007700123,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,343717.9436,0.352665698,121218,481,0,0.000290036,false
ID1007700124,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,382846.6637,0.305089628,116803,2433,1,0.000252015,false
ID1007700125,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,316261.9289,0.430286633,136083,454,0,0.000259242,false
ID1007700126,2022-12-01,Retail,Mortgage,Sweden,Narke,floating rate,376346.4224,0.370866344,139574,582,0,0.00032588,false
ID1007700127,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,344672.0584,0.300471662,103564,332,0,0.00022537,false
ID1007700128,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,339211.6449,0.242340769,82205,489,0,0.000344494,false
ID1007700129,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,416306.6752,0.404911776,168567,826,2,0.000317045,false
ID1007700130,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,277455.1643,0.367326133,101917,354,1,0.000334678,false
ID1007700131,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,310055.9203,0.248329843,76996,401,0,0.00025232,false
ID1007700132,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,floating rate,337486.1302,0.289867558,97826,4076,0,0.000283425,false
ID1007700133,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,332539.2994,0.273711405,91020,1264,2,0.000217888,false
ID1007700134,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,358894.7412,0.368922876,132404,1839,0,0.000355485,false
ID1007700135,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,350942.5063,0.37060429,130061,434,2,0.00030338,false
ID1007700136,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,338781.2554,0.488966822,165653,1972,0,0.000345123,false
ID1007700137,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,358983.4929,0.504969793,181276,839,1,0.00030497,false
ID1007700138,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,370465.5681,0.251866464,93308,370,1,0.000242262,false
ID1007700139,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,432822.2208,0.23006331,99577,2075,0,0.000253425,false
ID1007700140,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,355558.9463,0.307704335,109407,456,0,0.000278333,false
ID1007700141,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,348204.5045,0.378321907,131733,578,0,0.000335546,false
ID1007700142,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,394328.1224,0.360329448,142088,493,2,0.000334291,false
ID1007700143,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,305336.6258,0.307884095,94008,313,0,0.000371659,false
ID1007700144,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,391342.0438,0.536709058,210037,17503,0,0.000316054,false
ID1007700145,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,325274.4625,0.483568477,157292,1638,1,0.000301047,false
ID1007700146,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,352817.3361,0.171315736,60443,194,0,0.000327592,false
ID1007700147,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,380099.4599,0.470680411,178905,1355,1,0.000338311,false
ID1007700148,2022-12-01,Retail,Mortgage,Sweden,Jamtland,fixed rate,372637.88,0.253834917,94589,464,1,0.000315068,false
ID1007700149,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,308120.2626,0.456945116,140794,838,1,0.000272611,false
ID1007700150,2022-12-01,Retail,Mortgage,Sweden,Narke,floating rate,326462.2662,0.341776081,111577,1033,1,0.000230248,false
ID1007700151,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,331397.4087,0.476265466,157833,877,0,0.000269968,false
ID1007700152,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,367006.1083,0.272637798,100060,758,0,0.000311225,false
ID1007700153,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,367097.279,0.402083957,147604,3075,0,0.000343954,false
ID1007700154,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,364881.2882,0.453404134,165439,1149,0,0.000300674,false
ID1007700155,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,337392.2449,0.428328852,144515,502,1,0.000164726,false
ID1007700156,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,capped rate,395898.5258,0.3279853,129849,401,0,0.000182237,false
ID1007700157,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,443275.3026,0.47538218,210725,5853,0,0.000316988,false
ID1007700158,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,342349.0668,0.472704293,161830,793,1,0.00032825,false
ID1007700159,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,444454.9104,0.573485006,254888,1416,1,0.00024646,false
ID1007700160,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,346600.4409,0.282740997,97998,292,0,0.000336574,false
ID1007700161,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,308778.4992,0.427579276,132027,2200,0,0.000242921,false
ID1007700162,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,383355.8111,0.456006634,174813,2914,0,0.000311619,false
ID1007700163,2022-12-01,Retail,Mortgage,Sweden,Narke,capped rate,411224.8178,0.321637655,132265,735,0,0.00034668,false
ID1007700164,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,357541.5349,0.542059972,193809,673,0,0.00028524,false
ID1007700165,2022-12-01,Retail,Mortgage,Sweden,Blekinge,floating rate,364289.6434,0.253233979,92251,641,0,0.000317656,false
ID1007700166,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,floating rate,346168.4859,0.181159645,62712,249,0,0.00037297,false
ID1007700167,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,346964.4633,0.322813111,112005,1556,0,0.00029341,false
ID1007700168,2022-12-01,Retail,Mortgage,Sweden,Oland,floating rate,361446.8477,0.338813362,122463,600,1,0.000272768,false
ID1007700169,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,334736.4762,0.278932466,93369,278,0,0.000270688,false
ID1007700170,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,401144.7348,0.500362355,200718,1287,0,0.000350654,false
ID1007700171,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,374182.152,0.428714399,160417,4456,0,0.00034576,false
ID1007700172,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,355028.6744,0.362414989,128668,511,0,0.000269314,false
ID1007700173,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,297958.3379,0.28187759,83988,1400,0,0.000273974,false
ID1007700174,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,459487.8108,0.280593301,128929,448,0,0.000342307,false
ID1007700175,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,fixed rate,366374.1361,0.49311492,180665,7528,2,0.000287376,false
ID1007700176,2022-12-01,Retail,Mortgage,Sweden,Gotland,fixed rate,317196.2697,0.391696511,124245,471,1,0.000339761,false
ID1007700177,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,394245.6941,0.462293504,182257,608,1,0.000380469,false
ID1007700178,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,334190.3762,0.398420093,133148,427,0,0.00033892,false
ID1007700179,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,346685.3099,0.362789544,125774,437,1,0.000267976,false
ID1007700180,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,315696.4674,0.383035027,120923,458,2,0.000255809,false
ID1007700181,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,280718.342,0.349836826,98206,585,0,0.000320329,false
ID1007700182,2022-12-01,Retail,Mortgage,Sweden,Medelpad,capped rate,382384.4657,0.439894922,168209,2336,0,0.000296295,false
ID1007700183,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,331624.7578,0.380488643,126179,1502,0,0.000278603,false
ID1007700184,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,384736.4021,0.418594599,161049,559,0,0.000369118,false
ID1007700185,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,337870.9119,0.411487015,139029,891,0,0.000356292,false
ID1007700186,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,365022.4256,0.506141798,184753,7698,0,0.000377125,false
ID1007700187,2022-12-01,Retail,Mortgage,Sweden,Oland,floating rate,300142.0506,0.530507978,159228,1474,1,0.000292254,false
ID1007700188,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,362189.4593,0.459476881,166418,867,0,0.000345977,false
ID1007700189,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,266839.3933,0.125723504,33548,112,0,0.000355488,false
ID1007700190,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,366421.0952,0.281587805,103180,391,1,0.0003156,false
ID1007700191,2022-12-01,Retail,Mortgage,Sweden,Narke,capped rate,432638.2163,0.382402887,165442,574,1,0.000277347,false
ID1007700192,2022-12-01,Retail,Mortgage,Sweden,Dalarna,floating rate,331411.2407,0.402207145,133296,793,0,0.000276791,false
ID1007700193,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,424907.5829,0.35055387,148953,653,1,0.000248606,false
ID1007700194,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,362737.3729,0.278029697,100852,350,0,0.00031969,false
ID1007700195,2022-12-01,Retail,Mortgage,Sweden,Dalsland,floating rate,378634.5729,0.44883652,169945,545,0,0.000308097,false
ID1007700196,2022-12-01,Retail,Mortgage,Sweden,Narke,capped rate,419419.475,0.341964996,143427,478,0,0.000275754,false
ID1007700197,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,352899.0315,0.364830024,128748,2682,0,0.000375153,false
ID1007700198,2022-12-01,Retail,Mortgage,Sweden,Medelpad,floating rate,355957.2448,0.425851549,151585,12632,0,0.00034193,false
ID1007700199,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,384043.6256,0.443322531,170255,747,0,0.000289344,false
ID1007700200,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,351694.8382,0.521742379,183494,695,0,0.000261132,false
ID1007700201,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,422112.6459,0.256866328,108427,502,0,0.000412451,false
ID1007700202,2022-12-01,Retail,Mortgage,Sweden,Dalsland,floating rate,372796.7524,0.331214569,123476,447,0,0.000313182,false
ID1007700203,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,375329.3567,0.463224918,173862,690,0,0.00035786,false
ID1007700204,2022-12-01,Retail,Mortgage,Sweden,Dalsland,fixed rate,301309.4292,0.48108973,144957,575,0,0.000325228,false
ID1007700205,2022-12-01,Retail,Mortgage,Sweden,Lappland,capped rate,351504.1639,0.269533145,94742,304,3,1,true
ID1007700206,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,387957.1858,0.42220275,163797,718,0,0.000272349,false
